Distribution Date,Territory Name,Track Id,Track Title,Source,Music User,Split %,Total Payable,Total Units,,
7/1/20,United States,16729881,DRINK YOU AWAY,STREAMING,INTERNET,100,0.03,1295,,
7/1/20,United States,23591624,DUST MY SHOULDERS OFF,STREAMING,INTERNET,100,0.03,12,,
7/1/20,United States,13685374,FASCINATED,STREAMING,INTERNET,100,0.01,5,,
7/1/20,United States,15794951,GROWN WOMAN,STREAMING,INTERNET,100,0.02,253,,
7/1/20,United States,14974381,HANDS IN THE AIR,STREAMING,INTERNET,100,0.03,1238,,
7/1/20,United States,15665130,LET THE GROOVE IN,STREAMING,INTERNET,100,0.06,1413,,
7/1/20,United States,15506656,MIRRORS,STREAMING,INTERNET,100,0.4,14825,,
7/1/20,United States,20094132,MOVIN BASS,STREAMING,INTERNET,100,0.07,988,,
7/1/20,United States,16965366,MURDER,STREAMING,INTERNET,100,0.02,173,,
7/1/20,United States,16965368,NOT A BAD THING,STREAMING,INTERNET,100,0.05,3510,,
7/1/20,United States,13957979,PASS AT ME,STREAMING,INTERNET,100,0.01,169,,
7/1/20,United States,16822553,ROCKET,STREAMING,INTERNET,100,0.02,536,,
7/1/20,United States,21376174,SERVIN FEAT BLAZE AND TWEEZIE,STREAMING,INTERNET,100,0.01,3,,
7/1/20,United States,16157089,TAKE BACK THE NIGHT,STREAMING,INTERNET,100,0.1,9285,,
7/1/20,United States,16156619,TAKE IT EASY ON ME,STREAMING,INTERNET,100,0.01,6,,
7/1/20,United States,16031508,TOM FORD,STREAMING,INTERNET,100,0.19,6423,,
7/1/20,United States,15612678,TUNNEL VISION,STREAMING,INTERNET,100,1.34,2852,,
7/1/20,United States,16242755,WOODS,STREAMING,INTERNET,100,0.01,4,,
7/1/20,United States,21308737,YEAH I SAID IT,STREAMING,INTERNET,100,0.01,577,,
7/1/20,United States,19279883,IF THEY KNEW,OTHER,MIXCLOUD,100,0.01,1086,,
7/1/20,United States,15506656,MIRRORS,OTHER,MIXCLOUD,100,0.04,10320,,
7/1/20,United States,16157089,TAKE BACK THE NIGHT,OTHER,MIXCLOUD,100,0.02,4240,,
7/1/20,United States,16031508,TOM FORD,OTHER,MIXCLOUD,100,0.03,22364,,
7/1/20,United States,17666273,WALK IT OUT,OTHER,MIXCLOUD,100,0.01,1548,,
7/1/20,United States,21308737,YEAH I SAID IT,OTHER,MIXCLOUD,100,0.01,2295,,
7/1/20,United States,13416593,ALL NIGHT LONG,STREAMING,NAPSTER,100,0.02,889,,
7/1/20,United States,16965371,AMNESIA,STREAMING,NAPSTER,100,0.02,1132,,
7/1/20,United States,18878438,AROUND THE CLOCK,STREAMING,NAPSTER,100,0.01,314,,
7/1/20,United States,15612639,BLUE OCEAN FLOOR,STREAMING,NAPSTER,100,0.04,2405,,
